AMPID,EXTNAME,GAIN,GAIN_ERR,RDNOISE,RDNOISE_ERR,SATURAT,LINMAX,READDIR,STATUS,CAMPAIGN,DATE,CONFIG,RN_ADU,OVSC_RMS_ADU,BIAS_ADU,BIAS_DRIFT_ADU,PTC_CURV_A,PTC_NPTS,PTC_RESID_PCT,LIN_RATE_ADU_S,LIN_PEDESTAL_ADU,LIN_A1,LIN_A2,LIN_RANGE_LO,LIN_RANGE_HI,LIN_NOTE,CTE_SERIAL,PRNU_PCT,GAIN_STAB_PCT,GAIN_HDR,RDNOISE_HDR
1,M01T,1.9974,0.0075,8.376,0.35,61984,57071,na,FLOOD(-8.04),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34784.0,2.0,-4.748e-07,13,0.51,1509.9,-418.3,1.528e-08,-6.645e-13,38990,57071,ramp-limited,1.0000000,1.017,0.719,1.7,7.3
2,M02T,1.8817,0.0064,7.891,0.0,63275,58321,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,4.448,34796.0,2.0,-9.486e-07,13,0.46,1594.3,-459.4,1.673e-08,-6.826e-13,39228,58321,ramp-limited,1.0000000,0.988,0.772,1.5,8.0
3,M03T,1.9283,0.0057,8.086,0.0,62011,57263,na,FLOOD(-9.86),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34791.5,1.0,8.968e-08,13,0.4,1518.7,-350.9,1.094e-08,-4.767e-13,39076,57263,ramp-limited,1.0000000,0.971,0.664,1.6,7.3
4,M04T,1.9264,0.0053,6.059,0.0,-1,56677,na,FLOOD(-6.02),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34772.0,1.0,6.527e-07,13,0.38,1477.9,-297.9,8.977e-09,-4.019e-13,38977,56677,ramp-limited,1.0000000,0.966,0.661,1.7,8.1
5,M05T,1.7171,0.0045,7.2,0.0,63519,58662,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34775.0,1.0,2.257e-06,13,0.37,1603.1,-150.3,9.953e-10,-3.189e-14,39463,58662,ramp-limited,0.9999837,0.948,0.775,1.7,8.6
6,M06T,1.9007,0.0048,5.978,0.0,-1,56729,na,FLOOD(30.73),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,3.706,34770.0,2.0,8.828e-07,13,0.34,1479.4,-255.1,6.682e-09,-3.010e-13,39011,56729,ramp-limited,0.9999850,0.967,0.839,1.7,7.9
7,M07T,2.119,0.0089,6.664,0.0,-1,55250,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34760.0,1.0,-1.433e-06,13,0.56,1388.9,-409.1,2.197e-08,-1.027e-12,38619,55250,ramp-limited,0.9999870,0.987,0.801,1.7,7.0
8,M08T,1.819,0.0055,5.721,0.0,62214,57557,na,FLOOD(20.14),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34790.0,1.0,8.880e-07,13,0.42,1532.8,-247.1,5.989e-09,-2.589e-13,39200,57557,ramp-limited,0.9999858,0.996,0.72,1.6,6.8
9,M01B,1.992,0.0068,8.353,0.0,62046,57439,na,FLOOD(-8.04),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34784.0,2.0,-5.163e-07,13,0.46,1535.0,-428.4,1.531e-08,-6.548e-13,39057,57439,ramp-limited,1.0000000,0.979,0.944,1.7,7.3
10,M02B,1.8807,0.0062,7.887,0.0,63466,58621,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,4.448,34796.0,1.0,-1.031e-06,13,0.45,1614.8,-468.3,1.682e-08,-6.770e-13,39284,58621,ramp-limited,1.0000000,0.944,0.885,1.5,8.0
11,M03B,1.9233,0.0055,8.065,0.0,62097,57537,na,FLOOD(-9.86),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34791.5,1.0,6.178e-08,13,0.39,1537.3,-356.3,1.095e-08,-4.714e-13,39128,57537,ramp-limited,1.0000000,0.931,0.82,1.6,7.3
12,M04B,1.9213,0.0061,6.043,0.0,-1,56937,na,FLOOD(-6.02),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34772.0,1.0,6.413e-07,13,0.44,1495.5,-302.0,8.955e-09,-3.961e-13,39027,56937,ramp-limited,1.0000000,0.927,0.975,1.7,8.1
13,M05B,1.7139,0.0045,7.187,0.0,63661,58947,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34776.0,1.0,2.225e-06,13,0.36,1622.2,-152.1,9.773e-10,-3.068e-14,39520,58947,ramp-limited,0.9999837,0.91,0.859,1.7,8.6
14,M06B,1.9,0.0051,5.976,0.0,-1,57063,na,FLOOD(30.73),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,3.706,34770.0,2.0,8.016e-07,13,0.37,1502.0,-260.2,6.727e-09,-2.984e-13,39076,57063,ramp-limited,0.9999851,0.931,0.826,1.7,7.9
15,M07B,2.1165,0.0083,6.657,0.0,-1,55658,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34759.0,0.0,-1.472e-06,13,0.53,1416.8,-420.4,2.205e-08,-1.010e-12,38694,55658,ramp-limited,0.9999870,0.953,0.834,1.7,7.0
16,M08B,1.8149,0.0051,5.708,0.0,62690,58040,na,FLOOD(20.14),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34790.0,1.0,8.760e-07,13,0.38,1565.5,-255.0,5.974e-09,-2.528e-13,39292,58040,ramp-limited,0.9999859,0.958,0.861,1.6,6.8
17,K01T,2.081,0.0121,6.545,0.0,-1,58794,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34750.0,1.0,-1.930e-07,15,0.89,1353.0,-460.8,2.552e-08,-9.942e-13,38496,58794,ramp-limited,1.0000000,0.796,0.703,1.7,6.9
18,K02T,1.7127,0.0042,7.182,0.0,-1,56964,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,4.448,34792.5,2.0,2.517e-06,13,0.34,1487.8,-139.6,1.316e-09,-5.006e-14,39145,56964,ramp-limited,1.0000000,0.771,0.685,1.7,7.1
19,K03T,2.1069,0.0095,6.626,0.0,-1,57633,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34791.0,2.0,-1.704e-07,15,0.69,1283.9,-408.8,2.279e-08,-9.118e-13,38368,57633,ramp-limited,1.0000000,0.799,0.715,1.7,6.9
20,K04T,2.1409,0.0106,6.733,0.0,-1,57204,na,FLOOD(-5.08),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34779.0,2.0,-8.925e-07,15,0.75,1261.8,-447.1,3.128e-08,-1.277e-12,38269,57204,ramp-limited,1.0000000,0.806,0.735,1.7,7.0
21,K05T,1.8743,0.0052,5.895,0.0,-1,58557,na,FLOOD(-11.49),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,3.706,34781.0,1.0,1.276e-06,15,0.43,1330.8,-280.9,7.801e-09,-2.750e-13,38586,58557,ramp-limited,0.9999823,0.805,0.648,1.7,7.1
22,K06T,2.3054,0.0151,7.251,0.0,-1,58674,na,FLOOD(-296.61),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34833.0,1.0,-1.713e-06,15,0.98,1153.5,-555.9,8.271e-08,-3.624e-12,37952,58674,ramp-limited,0.9999868,0.827,0.725,1.7,7.0
23,K07T,2.1624,0.011,6.801,0.0,-1,55385,na,FLOOD(-299.02),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34693.0,1.0,-9.978e-07,15,0.77,1164.3,-410.2,3.377e-08,-1.505e-12,37914,55385,ramp-limited,0.9999838,0.824,0.802,1.7,6.8
24,K08T,2.2926,0.0123,7.21,0.0,-1,57846,na,FLOOD(-315.59),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34833.0,5.0,-1.886e-06,15,0.8,1113.2,-535.5,8.604e-08,-3.895e-12,37846,57846,ramp-limited,0.9999860,0.847,0.71,1.7,6.9
25,K01B,2.086,0.0115,6.561,0.0,-1,54827,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34750.0,1.0,-3.493e-07,14,0.8,1359.1,-361.7,1.885e-08,-9.089e-13,38555,54827,ramp-limited,1.0000000,0.792,0.782,1.7,6.9
26,K02B,1.7139,0.0042,7.187,0.0,-1,57252,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,4.448,34792.0,2.0,2.454e-06,13,0.34,1507.1,-139.7,1.318e-09,-4.946e-14,39203,57252,ramp-limited,1.0000000,0.77,0.763,1.7,7.1
27,K03B,2.107,0.0099,6.627,0.0,-1,57889,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34791.0,2.0,-1.923e-07,15,0.71,1298.2,-413.5,2.278e-08,-9.013e-13,38409,57889,ramp-limited,1.0000000,0.792,0.618,1.7,6.9
28,K04B,2.1417,0.0099,6.736,0.0,-1,57397,na,FLOOD(-5.08),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34779.0,2.0,-9.149e-07,15,0.7,1272.7,-450.7,3.128e-08,-1.267e-12,38300,57397,ramp-limited,1.0000000,0.796,0.616,1.7,7.0
29,K05B,1.8762,0.0055,5.901,0.0,-1,58737,na,FLOOD(-11.49),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,3.706,34781.0,1.0,1.220e-06,15,0.45,1340.8,-281.7,7.774e-09,-2.724e-13,38616,58737,ramp-limited,0.9999823,0.788,0.818,1.7,7.1
30,K06B,2.303,0.0141,7.243,0.0,-1,58909,na,FLOOD(-296.61),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34834.0,1.0,-1.699e-06,15,0.92,1164.9,-563.4,8.254e-08,-3.581e-12,37983,58909,ramp-limited,0.9999871,0.814,0.865,1.7,7.0
31,K07B,2.163,0.0107,6.803,0.0,-1,55639,na,FLOOD(-299.02),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34694.0,2.0,-1.015e-06,15,0.74,1178.6,-416.8,3.401e-08,-1.500e-12,37954,55639,ramp-limited,0.9999839,0.817,0.768,1.7,6.8
32,K08B,2.2938,0.0128,7.214,0.0,-1,58219,na,FLOOD(-315.59),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34833.0,5.0,-1.884e-06,15,0.84,1131.3,-547.7,8.626e-08,-3.843e-12,37893,58219,ramp-limited,0.9999866,0.836,0.779,1.7,6.9
33,N01T,1.8394,0.0064,5.785,0.0,63450,58642,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34779.5,5.0,7.571e-08,13,0.48,1614.8,-408.3,1.131e-08,-4.630e-13,39304,58642,ramp-limited,1.0000000,0.871,0.777,1.6,6.9
34,N02T,2.0352,0.0086,6.401,0.0,-1,56758,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34708.5,4.0,-1.119e-06,13,0.57,1496.8,-473.2,2.095e-08,-9.122e-13,38836,56758,ramp-limited,1.0000000,0.86,0.79,1.6,6.9
35,N03T,1.7635,0.0046,7.395,0.0,63515,58903,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34751.0,3.0,1.364e-06,13,0.36,1626.5,-260.7,4.434e-09,-1.812e-13,39424,58903,ramp-limited,1.0000000,0.849,0.702,1.6,7.1
36,N04T,1.7525,0.0047,7.349,0.0,63525,58920,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,4.448,34772.0,9.0,1.462e-06,13,0.37,1625.6,-247.7,4.047e-09,-1.638e-13,39453,58920,ramp-limited,1.0000000,0.846,0.77,1.6,7.4
37,N05T,1.798,0.0048,7.54,0.0,62726,58295,na,FLOOD(31.12),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34964.5,15.0,1.428e-06,13,0.36,1569.8,-227.6,3.930e-09,-1.649e-13,39495,58295,ramp-limited,0.9999832,0.847,0.767,1.6,7.3
38,N06T,1.6772,0.0043,7.033,0.0,63999,54459,na,FLOOD(33.81),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34939.5,22.0,2.236e-06,11,0.32,1639.8,-179.1,1.267e-09,-3.379e-14,39714,54459,ramp-limited,0.9999836,0.848,0.807,1.6,7.0
39,N07T,0.0,0.0,0.0,0.0,-1,-1,na,TOO_FEW_PAIRS,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,2.097,1.483,32965.0,0.0,0.000e+00,0,0,0,0,0.000e+00,0.000e+00,0,0,TOO_FEW_LEVELS,,,,1.6,7.2
40,N08T,1.8764,0.0064,5.901,0.0,62054,57239,na,FLOOD(53.65),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34888.0,10.0,5.180e-07,13,0.46,1507.9,-299.6,9.096e-09,-4.004e-13,39183,57239,ramp-limited,0.9999856,0.889,0.693,1.6,7.0
41,N01B,1.8423,0.0061,5.794,0.0,62451,57534,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34779.5,5.0,2.424e-08,13,0.45,1539.8,-385.6,1.129e-08,-4.858e-13,39095,57534,ramp-limited,1.0000000,0.871,0.787,1.6,6.9
42,N02B,2.0407,0.0081,6.418,0.0,-1,55782,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34708.5,3.0,-1.226e-06,13,0.54,1430.2,-445.9,2.062e-08,-9.387e-13,38656,55782,ramp-limited,1.0000000,0.856,0.691,1.6,6.9
43,N03B,1.7676,0.0048,7.412,0.0,62931,57915,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34752.0,3.0,1.274e-06,13,0.37,1560.0,-250.5,4.342e-09,-1.847e-13,39232,57915,ramp-limited,1.0000000,0.844,0.791,1.6,7.1
44,N04B,1.7541,0.0047,7.356,0.0,62986,57999,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,4.448,34773.5,9.0,1.446e-06,13,0.37,1563.7,-239.3,3.992e-09,-1.676e-13,39274,57999,ramp-limited,1.0000000,0.846,0.737,1.6,7.4
45,N05B,1.8012,0.0048,7.553,0.0,62200,57411,na,FLOOD(31.12),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34965.0,15.0,1.369e-06,13,0.37,1510.4,-219.8,3.901e-09,-1.697e-13,39322,57411,ramp-limited,0.9999832,0.845,0.817,1.6,7.3
46,N06B,1.6832,0.0043,7.058,0.0,63411,58404,na,FLOOD(33.81),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34941.0,22.0,2.084e-06,13,0.35,1576.0,-168.0,9.356e-10,-2.970e-14,39529,58404,ramp-limited,0.9999836,0.848,0.928,1.6,7.0
47,N07B,0.0,0.0,0.0,0.0,-1,-1,na,TOO_FEW_PAIRS,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,2.097,1.483,32965.0,1.0,0.000e+00,0,0,0,0,0.000e+00,0.000e+00,0,0,TOO_FEW_LEVELS,,,,1.6,7.2
48,N08B,1.8795,0.0061,5.911,0.0,-1,56304,na,FLOOD(53.65),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34889.0,10.0,4.598e-07,13,0.44,1444.8,-287.2,9.159e-09,-4.210e-13,39003,56304,ramp-limited,0.9999855,0.88,0.731,1.6,7.0
49,T01T,1.8558,0.0055,7.782,0.0,61865,56995,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34850.0,49.0,6.997e-07,13,0.4,1492.2,-266.1,7.767e-09,-3.460e-13,39125,56995,ramp-limited,1.0000000,1.035,0.832,1.6,7.0
50,T02T,1.7947,0.0047,7.526,0.0,61810,57031,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34918.0,11.0,1.270e-06,13,0.36,1487.2,-208.0,4.498e-09,-1.999e-13,39220,57031,ramp-limited,1.0000000,1.006,0.742,1.6,6.6
51,T03T,1.8519,0.0045,7.766,0.0,-1,56121,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,4.448,34950.0,15.0,9.790e-07,13,0.33,1425.2,-224.1,5.878e-09,-2.745e-13,39053,56121,ramp-limited,1.0000000,1.01,0.719,1.6,8.5
52,T04T,1.8522,0.0049,7.767,0.0,-1,55502,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34942.5,13.0,9.943e-07,13,0.36,1383.0,-202.2,5.770e-09,-2.758e-13,38939,55502,ramp-limited,1.0000000,1.017,0.807,1.6,8.4
53,T05T,1.7728,0.0055,7.434,0.0,62163,56104,na,FLOOD(-11.04),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34813.0,2.0,1.333e-06,13,0.42,1430.2,-163.9,3.038e-09,-1.355e-13,38977,56104,ramp-limited,0.9999842,1.021,0.726,1.7,8.5
54,T06T,1.88,0.0059,5.913,0.0,-1,58522,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34627.0,1.0,6.011e-07,15,0.48,1337.9,-296.5,8.212e-09,-2.831e-13,38442,58522,ramp-limited,0.9999843,1.028,0.606,1.7,7.9
55,T07T,1.5938,0.0047,6.684,0.0,62746,57911,na,FLOOD(25.25),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,4.448,34764.0,2.0,-1.092e-07,13,0.4,1560.0,-288.5,8.596e-09,-3.632e-13,39229,57911,ramp-limited,0.9999841,1.038,0.746,1.4,7.7
56,T08T,2.0549,0.0106,6.463,0.0,-1,56495,na,FLOOD(-203.14),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34687.0,5.0,-1.200e-06,15,0.77,1226.7,-420.3,2.960e-08,-1.243e-12,38088,56495,ramp-limited,0.9999862,1.09,0.764,1.7,7.2
57,T01B,1.8564,0.0054,7.785,0.0,-1,56076,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34849.0,49.0,6.351e-07,13,0.39,1430.4,-253.9,7.736e-09,-3.598e-13,38946,56076,ramp-limited,1.0000000,1.038,0.752,1.6,7.0
58,T02B,1.7961,0.0044,7.532,0.0,-1,56175,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34917.0,11.0,1.229e-06,13,0.34,1429.8,-199.3,4.435e-09,-2.046e-13,39052,56175,ramp-limited,1.0000000,1.005,0.752,1.6,6.6
59,T03B,1.8532,0.0043,7.771,0.0,-1,55358,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,4.448,34949.0,15.0,9.233e-07,13,0.32,1374.1,-216.8,5.857e-09,-2.832e-13,38903,55358,ramp-limited,1.0000000,1.005,0.804,1.6,8.5
60,T04B,1.8494,0.0047,7.755,0.0,-1,54823,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34941.5,12.0,1.020e-06,13,0.35,1337.6,-196.7,5.766e-09,-2.852e-13,38804,54823,ramp-limited,1.0000000,1.007,0.671,1.6,8.4
61,T05B,1.7732,0.0055,7.436,0.0,-1,55463,na,FLOOD(-11.04),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,3.706,34812.0,2.0,1.272e-06,13,0.42,1387.4,-162.2,2.976e-09,-1.365e-13,38848,55463,ramp-limited,0.9999843,1.013,0.865,1.7,8.5
62,T06B,1.8799,0.0061,5.912,0.0,-1,57834,na,OK,LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34626.0,1.0,5.655e-07,15,0.49,1299.6,-289.2,8.556e-09,-3.081e-13,38330,57834,ramp-limited,0.9999843,1.025,0.657,1.7,7.9
63,T07B,1.5911,0.0046,6.672,0.0,62202,57279,na,FLOOD(25.25),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,4.193,4.448,34764.0,2.0,-1.054e-07,13,0.4,1517.7,-283.5,8.606e-09,-3.742e-13,39104,57279,ramp-limited,0.9999841,1.041,0.625,1.4,7.7
64,T08B,2.0559,0.0103,6.466,0.0,-1,55853,na,FLOOD(-203.14),LEGACY-CTIO-20260611,20260611,legacy-OSU-32amp,3.145,2.965,34686.0,4.0,-1.277e-06,15,0.75,1190.5,-405.0,2.893e-08,-1.246e-12,37988,55853,ramp-limited,0.9999859,1.097,0.775,1.7,7.2
