AMPID,EXTNAME,GAIN,GAIN_ERR,RDNOISE,RDNOISE_ERR,SATURAT,LINMAX,READDIR,STATUS,CAMPAIGN,DATE,CONFIG,RN_ADU,OVSC_RMS_ADU,BIAS_ADU,BIAS_DRIFT_ADU,PTC_CURV_A,PTC_NPTS,PTC_RESID_PCT,LIN_RATE_ADU_S,LIN_PEDESTAL_ADU,LIN_A1,LIN_A2,LIN_RANGE_LO,LIN_RANGE_HI,LIN_NOTE,CTE_SERIAL,PRNU_PCT,GAIN_STAB_PCT,GAIN_HDR,RDNOISE_HDR
1,M01T,1.6737,0.0066,8.773,0.22,-1,56530,na,FLOOD(-11.37),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34464.5,12.0,1.764e-06,8,0.38,1482.8,-182.0,4.220e-10,-1.393e-14,38746,56530,ramp-limited,1.0000000,0.841,1.333,1.8,7.1
2,M02T,1.7957,0.0085,9.413,0.315,-1,55302,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34412.5,11.0,8.427e-07,8,0.45,1405.7,-216.0,1.527e-09,-6.601e-14,38442,55302,ramp-limited,1.0000000,0.849,1.334,1.9,7.2
3,M03T,1.6457,0.0073,8.627,0.288,-1,56743,na,FLOOD(-6.03),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34397.0,13.0,1.610e-06,8,0.43,1501.7,-190.7,7.866e-10,-3.049e-14,38733,56743,ramp-limited,1.0000000,0.861,1.361,1.7,6.9
4,M04T,1.7085,0.007,7.165,0.367,-1,56353,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,3.706,34502.5,11.0,1.952e-06,8,0.39,1465.8,-139.0,7.950e-11,3.245e-15,38772,56353,ramp-limited,1.0000000,0.847,1.371,2.0,6.8
5,M05T,1.6822,0.0067,8.818,0.221,-1,56287,na,FLOOD(-30.2),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34510.0,12.0,2.194e-06,8,0.38,1460.1,-124.6,-1.100e-10,1.289e-14,38773,56287,ramp-limited,0.9999860,0.843,1.368,1.7,7.9
6,M06T,1.6623,0.007,8.713,0.218,-1,56429,na,FLOOD(-19.92),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34442.0,12.0,2.179e-06,8,0.4,1473.5,-116.4,-1.841e-10,1.627e-14,38753,56429,ramp-limited,0.9999871,0.833,1.269,1.7,7.9
7,M07T,1.6028,0.0052,9.242,0.351,-1,56697,na,FLOOD(-29.57),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.766,4.448,34517.5,12.0,2.717e-06,8,0.31,1484.5,-81.7,-5.133e-10,3.464e-14,38888,56697,ramp-limited,0.9999871,0.824,1.232,1.8,7.1
8,M08T,1.6647,0.0123,8.726,0.292,-1,51969,na,FLOOD(-22.3),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34511.5,11.0,1.992e-06,7,0.61,1461.8,-86.7,2.590e-10,3.139e-14,38834,51969,ramp-limited,0.9999868,0.832,1.158,1.7,7.0
9,M01B,1.6713,0.0084,8.761,0.0,-1,57022,na,FLOOD(-11.37),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34462.5,11.0,1.866e-06,8,0.49,1516.2,-189.1,4.595e-10,-1.542e-14,38839,57022,ramp-limited,1.0000000,0.786,1.067,1.8,7.1
10,M02B,1.7901,0.0095,9.383,0.0,-1,55733,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34411.0,9.0,1.101e-06,8,0.5,1435.0,-224.7,1.544e-09,-6.519e-14,38521,55733,ramp-limited,1.0000000,0.787,1.288,1.9,7.2
11,M03B,1.6487,0.0065,8.642,0.0,61814,57156,na,FLOOD(-6.03),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34394.0,11.0,1.686e-06,8,0.38,1529.7,-195.4,7.871e-10,-2.990e-14,38810,57156,ramp-limited,1.0000000,0.802,1.226,1.7,6.9
12,M04B,1.7084,0.0066,7.164,0.343,-1,56743,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,3.706,34501.0,8.0,2.076e-06,8,0.37,1492.1,-143.8,1.133e-10,1.322e-15,38845,56743,ramp-limited,1.0000000,0.791,1.306,2.0,6.8
13,M05B,1.6848,0.0072,8.832,0.295,-1,56680,na,FLOOD(-30.2),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34508.0,9.0,2.247e-06,8,0.41,1486.6,-128.3,-7.633e-11,1.092e-14,38848,56680,ramp-limited,0.9999863,0.786,1.086,1.7,7.9
14,M06B,1.6639,0.006,8.722,0.0,-1,56880,na,FLOOD(-19.92),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34439.0,9.0,2.244e-06,8,0.35,1504.0,-120.4,-1.484e-10,1.394e-14,38838,56880,ramp-limited,0.9999874,0.773,1.258,1.7,7.9
15,M07B,1.5946,0.0073,8.359,0.342,61956,57241,na,FLOOD(-29.57),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34516.0,9.0,2.790e-06,8,0.44,1521.2,-86.2,-4.745e-10,3.139e-14,38992,57241,ramp-limited,0.9999875,0.764,0.945,1.8,7.1
16,M08B,1.6666,0.0111,8.736,0.292,-1,52477,na,FLOOD(-22.3),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34510.0,9.0,1.923e-06,7,0.55,1506.6,-105.5,-8.447e-10,7.617e-14,38936,52477,ramp-limited,0.9999872,0.784,0.845,1.7,7.0
17,K01T,1.6085,0.0097,6.745,0.0,-1,55922,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.965,34587.0,7.0,3.241e-06,8,0.58,1424.8,-19.5,-9.334e-10,6.667e-14,38828,55922,ramp-limited,1.0000000,0.841,0.813,1.6,5.4
18,K02T,1.5324,0.0055,6.426,0.308,-1,56475,na,FLOOD(-5.73),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.965,34503.0,8.0,3.370e-06,9,0.38,1466.9,-13.8,-8.793e-10,6.160e-14,38875,56475,ramp-limited,1.0000000,0.802,1.163,1.5,5.7
19,K03T,1.6208,0.0059,8.496,0.325,-1,55245,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34567.0,7.0,3.455e-06,9,0.38,1381.1,-23.1,-9.469e-10,6.909e-14,38676,55245,ramp-limited,1.0000000,0.801,1.489,1.7,6.8
20,K04T,1.6139,0.0075,6.768,0.346,-1,51118,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,3.706,34555.0,7.0,3.325e-06,7,0.39,1383.6,-19.7,-3.419e-09,2.681e-13,38681,51118,ramp-limited,1.0000000,0.806,1.323,1.6,5.8
21,K05T,1.603,0.0061,8.403,0.0,-1,55321,na,FLOOD(-35.1),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34555.0,5.0,3.283e-06,9,0.4,1387.3,-30.3,-9.050e-10,6.471e-14,38678,55321,ramp-limited,0.9999848,0.799,1.618,1.6,7.1
22,K06T,1.6703,0.0066,8.755,0.0,-1,58019,na,FLOOD(-33.17),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34531.0,6.0,3.151e-06,10,0.47,1307.5,-8.6,-6.970e-10,5.257e-14,38424,58019,ramp-limited,0.9999850,0.81,1.259,1.6,7.6
23,K07T,1.6876,0.0075,8.846,0.0,-1,57406,na,FLOOD(-33.66),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34535.0,6.0,3.003e-06,10,0.52,1273.4,-19.8,-6.435e-10,4.670e-14,38321,57406,ramp-limited,0.9999849,0.813,1.359,1.7,7.8
24,K08T,1.6659,0.0069,8.732,0.0,-1,57858,na,FLOOD(-32.58),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34526.0,5.0,2.959e-06,10,0.49,1299.5,-28.2,-6.979e-10,4.746e-14,38384,57858,ramp-limited,0.9999855,0.836,1.344,1.7,7.6
25,K01B,1.6129,0.0057,6.764,0.212,-1,56535,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.965,34590.0,11.0,3.171e-06,8,0.34,1465.3,-17.7,-8.810e-10,6.095e-14,38955,56535,ramp-limited,1.0000000,0.866,1.363,1.6,5.4
26,K02B,1.535,0.005,7.241,0.336,-1,57127,na,FLOOD(-5.73),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.718,2.965,34506.0,11.0,3.215e-06,9,0.34,1510.0,-11.9,-8.267e-10,5.599e-14,39010,57127,ramp-limited,1.0000000,0.846,1.18,1.5,5.7
27,K03B,1.6168,0.008,8.475,0.283,-1,55814,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34570.0,10.0,3.353e-06,9,0.53,1418.7,-21.1,-8.965e-10,6.350e-14,38794,55814,ramp-limited,1.0000000,0.84,0.943,1.7,6.8
28,K04B,1.6507,0.0138,7.787,0.361,63480,-1,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.718,3.706,34558.0,9.0,2.228e-06,4,0.46,0,0,0.000e+00,0.000e+00,0,0,TOO_FEW_LEVELS,1.0000000,0.86,1.589,1.6,5.8
29,K05B,1.5928,0.0104,8.349,0.209,-1,55843,na,FLOOD(-35.1),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34558.0,8.0,3.179e-06,9,0.69,1421.7,-29.0,-8.616e-10,6.001e-14,38786,55843,ramp-limited,0.9999853,0.834,0.719,1.6,7.1
30,K06B,1.6593,0.0102,8.697,0.0,-1,54615,na,FLOOD(-33.17),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34533.5,7.0,3.151e-06,9,0.65,1341.5,-30.8,-8.833e-10,6.500e-14,38520,54615,ramp-limited,0.9999855,0.862,0.808,1.6,7.6
31,K07B,1.6835,0.0121,8.825,0.0,-1,58064,na,FLOOD(-33.66),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34536.0,8.0,2.777e-06,10,0.84,1309.7,-15.3,-6.213e-10,4.410e-14,38434,58064,ramp-limited,0.9999855,0.867,0.786,1.7,7.8
32,K08B,1.6654,0.0088,8.729,0.0,-1,58635,na,FLOOD(-32.58),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.242,4.448,34527.5,6.0,2.701e-06,10,0.62,1342.6,-29.5,-6.613e-10,4.312e-14,38515,58635,ramp-limited,0.9999865,0.899,1.065,1.7,7.6
33,N01T,1.9729,0.009,8.273,0.386,63064,58466,na,FLOOD(616.69),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.224,34448.0,11.0,1.402e-06,8,0.44,1614.3,-198.3,2.367e-10,-5.148e-15,39106,58466,ramp-limited,1.0000000,0.699,1.217,1.7,8.2
34,N02T,1.8481,0.0076,7.75,0.0,64220,54770,na,FLOOD(618.26),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.965,34561.0,9.0,2.454e-06,7,0.34,1694.2,-97.7,-2.526e-09,1.624e-13,39540,54770,ramp-limited,1.0000000,0.687,1.356,1.7,8.1
35,N03T,1.8154,0.0082,7.613,0.318,64224,55203,na,FLOOD(545.18),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.965,34519.0,9.0,2.450e-06,7,0.38,1732.8,-84.8,-2.588e-09,1.625e-13,39626,55203,ramp-limited,1.0000000,0.698,1.303,1.7,8.5
36,N04T,1.8982,0.0083,7.96,0.407,64179,54490,na,FLOOD(553.74),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.965,34501.0,9.0,2.044e-06,8,0.42,1676.7,-113.1,-1.912e-09,1.255e-13,39418,54490,ramp-limited,1.0000000,0.706,1.358,1.7,8.2
37,N05T,1.8879,0.0087,7.917,0.379,64218,54666,na,FLOOD(-8.03),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.965,34551.0,9.0,2.064e-06,7,0.38,1686.8,-108.7,-1.847e-09,1.208e-13,39504,54666,ramp-limited,0.9999998,0.71,1.163,1.6,10.2
38,N06T,1.9104,0.0068,6.008,0.383,63753,54364,na,FLOOD(-8.03),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,3.145,2.224,34707.0,9.0,2.926e-06,8,0.35,1641.5,-7.7,-4.006e-09,2.677e-13,39608,54364,ramp-limited,0.9999998,0.701,1.14,1.6,7.5
39,N07T,1.857,0.0082,7.787,0.398,64224,54958,na,FLOOD(95.49),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.224,34491.5,37.0,2.319e-06,7,0.37,1709.1,-12.2,-3.746e-09,2.381e-13,39596,54958,ramp-limited,0.9999999,0.697,1.296,1.6,8.6
40,N08T,1.8486,0.0106,7.752,0.397,64224,54907,na,FLOOD(100.7),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.224,34567.0,9.0,2.098e-06,7,0.47,1701.3,-51.7,-2.754e-09,1.758e-13,39613,54907,ramp-limited,1.0000000,0.721,0.789,1.7,7.5
41,N01B,1.9738,0.0083,8.277,0.466,62815,58079,na,FLOOD(616.69),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.224,34451.0,10.0,1.294e-06,8,0.4,1588.2,-194.8,2.168e-10,-4.192e-15,39034,58079,ramp-limited,1.0000000,0.746,1.352,1.7,8.2
42,N02B,1.8539,0.0075,7.774,0.437,64188,54482,na,FLOOD(618.26),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.965,34563.5,11.0,2.195e-06,8,0.39,1669.8,-96.0,-2.650e-09,1.728e-13,39472,54482,ramp-limited,1.0000000,0.721,1.196,1.7,8.1
43,N03B,1.8117,0.0083,7.597,0.427,64223,54944,na,FLOOD(545.18),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.965,34522.0,11.0,2.403e-06,7,0.38,1711.0,-84.6,-2.684e-09,1.707e-13,39563,54944,ramp-limited,1.0000000,0.73,1.184,1.7,8.5
44,N04B,1.8948,0.0082,7.946,0.38,64048,54257,na,FLOOD(553.74),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.965,34503.5,11.0,1.941e-06,8,0.42,1656.9,-111.6,-1.969e-09,1.307e-13,39363,54257,ramp-limited,1.0000000,0.74,1.302,1.7,8.2
45,N05B,1.886,0.0072,7.909,0.445,64171,54394,na,FLOOD(-8.03),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.965,34554.0,11.0,1.936e-06,8,0.37,1663.7,-107.1,-1.907e-09,1.263e-13,39439,54394,ramp-limited,0.9999998,0.745,1.217,1.6,10.2
46,N06B,1.9102,0.007,6.008,0.41,63467,58811,na,FLOOD(-8.03),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,3.145,2.224,34708.5,11.0,2.811e-06,8,0.36,1607.3,36.7,-1.170e-09,8.816e-14,39529,58811,ramp-limited,0.9999998,0.736,1.226,1.6,7.5
47,N07B,1.8549,0.0079,7.779,0.372,64212,54573,na,FLOOD(95.49),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.224,34493.0,40.0,2.227e-06,7,0.35,1676.8,-10.5,-3.893e-09,2.522e-13,39502,54573,ramp-limited,0.9999999,0.732,1.183,1.6,8.6
48,N08B,1.8523,0.0075,7.768,0.372,64193,54511,na,FLOOD(100.7),LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,4.193,2.224,34568.5,11.0,2.177e-06,8,0.39,1668.0,-48.5,-2.768e-09,1.803e-13,39517,54511,ramp-limited,1.0000000,0.75,1.382,1.7,7.5
49,T01T,1.684,0.006,9.71,0.489,-1,55835,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,5.766,3.706,34551.0,7.0,3.096e-06,9,0.38,1423.3,-56.5,-6.265e-10,4.376e-14,38761,55835,ramp-limited,1.0000000,0.899,1.525,1.6,6.6
50,T02T,1.675,0.0046,10.536,0.464,-1,55294,na,OK,LEGACY-SAAO-20260603,20260603,legacy-OSU-32amp,6.29,4.448,34500.0,29.0,2.967e-06,9,0.29,1390.2,-52.4,-6.342e-10,4.530e-14,38616,55294,ramp-limited,1.0000000,0.886,1.299,1.7,7.8
