AMPID,EXTNAME,GAIN,GAIN_ERR,RDNOISE,RDNOISE_ERR,SATURAT,LINMAX,READDIR,STATUS,CAMPAIGN,DATE,CONFIG,RN_ADU,OVSC_RMS_ADU,BIAS_ADU,BIAS_DRIFT_ADU,PTC_CURV_A,PTC_NPTS,PTC_RESID_PCT,LIN_RATE_ADU_S,LIN_PEDESTAL_ADU,LIN_A1,LIN_A2,LIN_RANGE_LO,LIN_RANGE_HI,LIN_NOTE,CTE_SERIAL,PRNU_PCT,GAIN_STAB_PCT,GAIN_HDR,RDNOISE_HDR
1,M01T,1.6227,0.0069,6.805,0.213,-1,55202,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,3.706,34470.0,11.0,2.083e-06,12,0.48,2103.9,-274.3,8.973e-09,-2.189e-13,39362,55202,ramp-limited,1.0000000,0.869,0.781,1.6,7.0
2,M02T,1.6447,0.0067,6.897,0.432,-1,54988,na,FLOOD(-7.25),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34520.5,76.0,2.173e-06,12,0.46,2075.4,-251.9,9.725e-09,-2.455e-13,39362,54988,ramp-limited,1.0000000,0.855,0.747,1.6,6.8
3,M03T,1.6261,0.0063,6.819,0.214,-1,55131,na,FLOOD(8.62),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34461.0,7.0,2.681e-06,12,0.44,2092.9,-219.6,1.069e-08,-2.710e-13,39372,55131,ramp-limited,1.0000000,0.867,0.74,1.6,7.3
4,M04T,1.6609,0.0067,6.965,1.091,-1,55529,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,3.706,34442.0,72.0,1.812e-06,12,0.45,2140.6,-290.0,7.946e-09,-1.764e-13,39412,55529,ramp-limited,1.0000000,0.873,0.75,1.6,6.7
5,M05T,1.7199,0.0067,7.212,0.452,-1,55141,na,FLOOD(-12.58),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34362.0,104.0,2.013e-06,12,0.44,2107.5,-263.7,9.100e-09,-2.166e-13,39272,55141,ramp-limited,0.9999846,0.877,0.796,1.6,7.1
6,M06T,1.6893,0.0073,8.855,0.444,-1,55574,na,FLOOD(-14.32),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,5.242,4.448,34363.5,87.0,2.093e-06,12,0.49,2150.4,-259.5,8.933e-09,-2.067e-13,39383,55574,ramp-limited,0.9999852,0.876,0.924,1.6,8.1
7,M07T,1.5571,0.009,6.53,1.228,63966,-1,na,FLOOD(-18.33),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34461.5,93.0,2.744e-06,10,0.62,0,0,0.000e+00,0.000e+00,0,0,TOO_FEW_LEVELS,0.9999866,0.873,1.037,1.5,7.0
8,M08T,1.555,0.0058,6.521,1.226,64211,-1,na,FLOOD(-20.33),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34446.5,73.0,3.095e-06,5,0.28,0,0,0.000e+00,0.000e+00,0,0,TOO_FEW_LEVELS,0.9999874,0.893,0.954,1.6,7.0
9,M01B,1.6244,0.0073,6.812,0.213,-1,55590,na,OK,LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,3.706,34470.0,10.0,1.992e-06,12,0.51,2143.1,-277.8,8.728e-09,-2.084e-13,39455,55590,ramp-limited,1.0000000,0.858,0.904,1.6,7.0
10,M02B,1.6413,0.007,6.883,0.647,-1,55298,na,FLOOD(-7.25),LEGACY-SSO-20260710,20260710,legacy-OSU-32amp,4.193,4.448,34519.5,74.0,2.224e-06,12,0.48,2106.5,-252.5,9.457e-09,-2.324e-13,39437,55298,ramp-limited,1.0000000,0.846,0.921,1.6,6.8
