Map of   (v1.1 -- 2026-08-25)
CtrUnit - Port - CCD/CH - IMGSEC-POS - MEF_AmpID
  v1.1 changes (D-017 round / raw spec v1.5):
    * CH token 3 -> 4 chars: <chip><A|D><nn>   (ch 01-08 = A, 09-16 = D)
    * IMGSEC B-BOT -> D-BOT (16 rows, K/N ch09-16) -- e2v CCD290-99 has
      image sections A and D only; "B" had no source (raw spec Appendix A).
    * moved out of __reference/ per the read-only rule (operator 2026-08-22).


CTRUNIT:MK Port:A CH:MD16 IMGSEC:D-TOP MEF_AMPID:01
CTRUNIT:MK Port:A CH:MD15 IMGSEC:D-TOP MEF_AMPID:02
CTRUNIT:MK Port:A CH:MD14 IMGSEC:D-TOP MEF_AMPID:03
CTRUNIT:MK Port:A CH:MD13 IMGSEC:D-TOP MEF_AMPID:04
CTRUNIT:MK Port:A CH:MD12 IMGSEC:D-TOP MEF_AMPID:05
CTRUNIT:MK Port:A CH:MD11 IMGSEC:D-TOP MEF_AMPID:06
CTRUNIT:MK Port:A CH:MD10 IMGSEC:D-TOP MEF_AMPID:07
CTRUNIT:MK Port:A CH:MD09 IMGSEC:D-TOP MEF_AMPID:08

CTRUNIT:MK Port:A CH:MA01 IMGSEC:A-BOT MEF_AMPID:09
CTRUNIT:MK Port:A CH:MA02 IMGSEC:A-BOT MEF_AMPID:10
CTRUNIT:MK Port:A CH:MA03 IMGSEC:A-BOT MEF_AMPID:11
CTRUNIT:MK Port:A CH:MA04 IMGSEC:A-BOT MEF_AMPID:12
CTRUNIT:MK Port:A CH:MA05 IMGSEC:A-BOT MEF_AMPID:13
CTRUNIT:MK Port:A CH:MA06 IMGSEC:A-BOT MEF_AMPID:14
CTRUNIT:MK Port:A CH:MA07 IMGSEC:A-BOT MEF_AMPID:15
CTRUNIT:MK Port:A CH:MA08 IMGSEC:A-BOT MEF_AMPID:16

CTRUNIT:MK Port:B CH:KA08 IMGSEC:A-TOP MEF_AMPID:17
CTRUNIT:MK Port:B CH:KA07 IMGSEC:A-TOP MEF_AMPID:18
CTRUNIT:MK Port:B CH:KA06 IMGSEC:A-TOP MEF_AMPID:19
CTRUNIT:MK Port:B CH:KA05 IMGSEC:A-TOP MEF_AMPID:20
CTRUNIT:MK Port:B CH:KA04 IMGSEC:A-TOP MEF_AMPID:21
CTRUNIT:MK Port:B CH:KA03 IMGSEC:A-TOP MEF_AMPID:22
CTRUNIT:MK Port:B CH:KA02 IMGSEC:A-TOP MEF_AMPID:23
CTRUNIT:MK Port:B CH:KA01 IMGSEC:A-TOP MEF_AMPID:24

CTRUNIT:MK Port:B CH:KD09 IMGSEC:D-BOT MEF_AMPID:25
CTRUNIT:MK Port:B CH:KD10 IMGSEC:D-BOT MEF_AMPID:26
CTRUNIT:MK Port:B CH:KD11 IMGSEC:D-BOT MEF_AMPID:27
CTRUNIT:MK Port:B CH:KD12 IMGSEC:D-BOT MEF_AMPID:28
CTRUNIT:MK Port:B CH:KD13 IMGSEC:D-BOT MEF_AMPID:29
CTRUNIT:MK Port:B CH:KD14 IMGSEC:D-BOT MEF_AMPID:30
CTRUNIT:MK Port:B CH:KD15 IMGSEC:D-BOT MEF_AMPID:31
CTRUNIT:MK Port:B CH:KD16 IMGSEC:D-BOT MEF_AMPID:32

CTRUNIT:NT Port:A CH:NA08 IMGSEC:A-TOP MEF_AMPID:33
CTRUNIT:NT Port:A CH:NA07 IMGSEC:A-TOP MEF_AMPID:34
CTRUNIT:NT Port:A CH:NA06 IMGSEC:A-TOP MEF_AMPID:35
CTRUNIT:NT Port:A CH:NA05 IMGSEC:A-TOP MEF_AMPID:36
CTRUNIT:NT Port:A CH:NA04 IMGSEC:A-TOP MEF_AMPID:37
CTRUNIT:NT Port:A CH:NA03 IMGSEC:A-TOP MEF_AMPID:38
CTRUNIT:NT Port:A CH:NA02 IMGSEC:A-TOP MEF_AMPID:39
CTRUNIT:NT Port:A CH:NA01 IMGSEC:A-TOP MEF_AMPID:40

CTRUNIT:NT Port:A CH:ND09 IMGSEC:D-BOT MEF_AMPID:41
CTRUNIT:NT Port:A CH:ND10 IMGSEC:D-BOT MEF_AMPID:42
CTRUNIT:NT Port:A CH:ND11 IMGSEC:D-BOT MEF_AMPID:43
CTRUNIT:NT Port:A CH:ND12 IMGSEC:D-BOT MEF_AMPID:44
CTRUNIT:NT Port:A CH:ND13 IMGSEC:D-BOT MEF_AMPID:45
CTRUNIT:NT Port:A CH:ND14 IMGSEC:D-BOT MEF_AMPID:46
CTRUNIT:NT Port:A CH:ND15 IMGSEC:D-BOT MEF_AMPID:47
CTRUNIT:NT Port:A CH:ND16 IMGSEC:D-BOT MEF_AMPID:48

CTRUNIT:NT Port:B CH:TD16 IMGSEC:D-TOP MEF_AMPID:49
CTRUNIT:NT Port:B CH:TD15 IMGSEC:D-TOP MEF_AMPID:50
CTRUNIT:NT Port:B CH:TD14 IMGSEC:D-TOP MEF_AMPID:51
CTRUNIT:NT Port:B CH:TD13 IMGSEC:D-TOP MEF_AMPID:52
CTRUNIT:NT Port:B CH:TD12 IMGSEC:D-TOP MEF_AMPID:53
CTRUNIT:NT Port:B CH:TD11 IMGSEC:D-TOP MEF_AMPID:54
CTRUNIT:NT Port:B CH:TD10 IMGSEC:D-TOP MEF_AMPID:55
CTRUNIT:NT Port:B CH:TD09 IMGSEC:D-TOP MEF_AMPID:56

CTRUNIT:NT Port:B CH:TA01 IMGSEC:A-BOT MEF_AMPID:57
CTRUNIT:NT Port:B CH:TA02 IMGSEC:A-BOT MEF_AMPID:58
CTRUNIT:NT Port:B CH:TA03 IMGSEC:A-BOT MEF_AMPID:59
CTRUNIT:NT Port:B CH:TA04 IMGSEC:A-BOT MEF_AMPID:60
CTRUNIT:NT Port:B CH:TA05 IMGSEC:A-BOT MEF_AMPID:61
